LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2030052322	752.839488171504
Oahu	2030062300	644.711545645133
Oahu	2030062302	613.668823334661
Oahu	2030062304	654.449528713709
Oahu	2030062306	789.870209356266
Oahu	2030062308	880.443396835028
Oahu	2030062310	926.881999967399
Oahu	2030062312	939.907777306249
Oahu	2030062314	941.076348169053
Oahu	2030062316	925.198452014021
Oahu	2030062318	906.494951512728
Oahu	2030062320	896.063723853679
Oahu	2030062322	761.844616126914
Oahu	2030072300	678.824184203285
Oahu	2030072302	644.394661463578
Oahu	2030072304	680.157805626574
Oahu	2030072306	812.521746665317
Oahu	2030072308	897.014456989438
Oahu	2030072310	944.218917287962
Oahu	2030072312	953.798458265762
Oahu	2030072314	950.279528737935
Oahu	2030072316	941.241398729537
Oahu	2030072318	920.709125123503
Oahu	2030072320	899.74770394199
Oahu	2030072322	773.516986928902
Oahu	2030082300	673.674614775283
Oahu	2030082302	632.72885883575
Oahu	2030082304	641.621803988331
Oahu	2030082306	715.577672024735
Oahu	2030082308	839.873920713318
Oahu	2030082310	886.299387497369
Oahu	2030082312	889.89745747949
Oahu	2030082314	886.385217012465
Oahu	2030082316	881.30161139489
Oahu	2030082318	871.755112765625
Oahu	2030082320	853.21662252927
Oahu	2030082322	768.855960712646
Oahu	2030092300	648.897245589057
Oahu	2030092302	622.079793449656
Oahu	2030092304	671.720401632751
Oahu	2030092306	816.634793738012
Oahu	2030092308	894.281210036886
Oahu	2030092310	927.826044042357
Oahu	2030092312	943.446451652102
Oahu	2030092314	944.284921393937
Oahu	2030092316	929.258711920154
Oahu	2030092318	958.320827504814
Oahu	2030092320	877.75632857933
Oahu	2030092322	740.770971847025
Oahu	2030102300	645.550015386968
Oahu	2030102302	617.326369544144
Oahu	2030102304	655.413438493335
Oahu	2030102306	797.98408040328
Oahu	2030102308	870.863855857229
Oahu	2030102310	905.999799831275
Oahu	2030102312	919.296282654825
Oahu	2030102314	916.081100960234
Oahu	2030102316	903.312731575577
Oahu	2030102318	937.564027110933
Oahu	2030102320	860.089310137797
Oahu	2030102322	738.110337470155
Oahu	2030112300	618.534510634096
Oahu	2030112302	590.357083783673
Oahu	2030112304	604.373204780976
Oahu	2030112306	661.896629344626
Oahu	2030112308	768.723952500696
Oahu	2030112310	817.69114150244
Oahu	2030112312	813.399826929847
Oahu	2030112314	805.259522004005
Oahu	2030112316	826.240768594639
Oahu	2030112318	894.347214142861
Oahu	2030112320	823.936628922018
Oahu	2030112322	713.28014082182
Oahu	2030122300	621.670471283299
Oahu	2030122302	584.692577560644
Oahu	2030122304	624.826257341622
Oahu	2030122306	754.674829450405
Oahu	2030122308	838.711958320221
Oahu	2030122310	877.030122231418
Oahu	2030122312	877.716758352183
Oahu	2030122314	872.349310901588
Oahu	2030122316	860.287403046816
Oahu	2030122318	904.091805681144
Oahu	2030122320	843.366416362317
Oahu	2030122322	741.226513005784
Oahu	2035012300	618.937762477112
Oahu	2035012302	589.148411146113
Oahu	2035012304	637.864854169878
Oahu	2035012306	805.800211442832
Oahu	2035012308	849.447186300064
Oahu	2035012310	872.63867470243
Oahu	2035012312	878.943152134782
Oahu	2035012314	873.812216687552
Oahu	2035012316	869.21349793904
Oahu	2035012318	930.463894084598
Oahu	2035012320	853.868499482337
Oahu	2035012322	716.520818588458
Oahu	2035022300	642.886597740423
Oahu	2035022302	600.720251404803
Oahu	2035022304	610.313436576938
Oahu	2035022306	687.550198110103
Oahu	2035022308	810.146481237696
Oahu	2035022310	860.787066698671
Oahu	2035022312	862.717955544738
Oahu	2035022314	859.831825177921
Oahu	2035022316	869.302200722159
Oahu	2035022318	904.440829609259
Oahu	2035022320	852.196847643274
Oahu	2035022322	754.818515889588
Oahu	2035032300	640.559961219245
Oahu	2035032302	601.539023901946
Oahu	2035032304	609.358236700687
Oahu	2035032306	664.60432896353
Oahu	2035032308	775.935775079926
Oahu	2035032310	810.637761393781
Oahu	2035032312	815.563972483351
Oahu	2035032314	813.121314387633
Oahu	2035032316	822.557583087094
Oahu	2035032318	854.462100172753
Oahu	2035032320	828.862060519446
Oahu	2035032322	725.377104348714
Oahu	2035042300	625.187643971121
Oahu	2035042302	595.248205865304
