ShiftDemand_index_1,ShiftDemand_index_2,ShiftDemand
Oahu,2035042306,-79.0782705327
Oahu,2035042308,238.447341413
Oahu,2035042310,-91.5098406534
Oahu,2035042312,262.392449671
Oahu,2035042314,14.8595162307
Oahu,2035042316,95.580319802
Oahu,2035042318,-92.5121487871
Oahu,2035042320,-88.6755493591
Oahu,2035042322,-73.8852597951
Oahu,2035052300,-66.8241018138
Oahu,2035052302,-63.6425203835
Oahu,2035052304,-68.3858954642
Oahu,2035052306,-83.682457204
Oahu,2035052308,-92.2890342186
Oahu,2035052310,131.545181573
Oahu,2035052312,328.736880004
Oahu,2035052314,68.4561403852
Oahu,2035052316,101.624096532
Oahu,2035052318,-90.9005399868
Oahu,2035052320,-87.8376870236
Oahu,2035052322,-76.8000623996
Oahu,2035062300,-65.6252941111
Oahu,2035062302,-62.4171018459
Oahu,2035062304,-66.6316917345
Oahu,2035062306,-80.6271002505
Oahu,2035062308,268.891600901
Oahu,2035062310,323.602628394
Oahu,2035062312,-96.1331296564
Oahu,2035062314,-96.2538987039
Oahu,2035062316,137.206650912
Oahu,2035062318,-92.6799927763
Oahu,2035062320,-91.6019499566
Oahu,2035062322,-77.7307211725
Oahu,2035072300,-69.1507549928
Oahu,2035072302,-65.592544877
Oahu,2035072304,-69.288581627
Oahu,2035072306,-82.9680833017
Oahu,2035072308,-91.7002059878
Oahu,2035072310,438.744327786
Oahu,2035072312,338.324801637
Oahu,2035072314,-97.2050257481
Oahu,2035072316,-36.0952248953
Oahu,2035072318,-94.1489941538
Oahu,2035072320,-91.9826806253
Oahu,2035072322,-78.937033214
Oahu,2035082300,-68.6185591163
Oahu,2035082302,-64.3869116408
Oahu,2035082304,-65.3059765852
Oahu,2035082306,-72.9491414283
Oahu,2035082308,61.2196464443
Oahu,2035082310,160.909708755
Oahu,2035082312,-90.9646808444
Oahu,2035082314,221.80878905
Oahu,2035082316,173.005967638
Oahu,2035082318,-89.0897122317
Oahu,2035082320,-87.173802912
Oahu,2035082322,-78.4553271282
Oahu,2035092300,-66.0578763456
Oahu,2035092302,-63.2863558048
