load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2025-11-23-12:00	1180.36	0	0	853.128	56.7773	0	270.455
Oahu	2025-11-23-14:00	1133.46	0	0	840.661	128.639	0	164.161
Oahu	2025-11-23-16:00	862.457	0	0	872.794	25.0068	0	-35.344
Oahu	2025-11-23-18:00	879.39	0	0	977.1	0	0	-97.71
Oahu	2025-11-23-20:00	782.339	0	0	869.265	0	0	-86.9265
Oahu	2025-11-23-22:00	681.619	0	0	699.792	51.8061	0	-69.9792
Oahu	2025-12-23-00:00	701.277	0	0	559.49	0	0	141.787
Oahu	2025-12-23-02:00	586.511	0	0	502.858	0	0	83.6528
Oahu	2025-12-23-04:00	568.522	0	0	564.323	60.6311	0	-56.4323
Oahu	2025-12-23-06:00	686.87	0	0	763.189	0	0	-76.3189
Oahu	2025-12-23-08:00	802.704	0	0	891.894	0	0	-89.1894
Oahu	2025-12-23-10:00	1042.81	0	0	950.579	63.4143	123.874	-95.0579
Oahu	2025-12-23-12:00	1189.7	0	0	951.63	99.5657	160.394	-21.8952
Oahu	2025-12-23-14:00	1308.44	0	0	943.41	63.4143	0	301.611
Oahu	2025-12-23-16:00	972.036	0	0	924.937	39.8306	0	7.26826
Oahu	2025-12-23-18:00	892.822	0	0	992.024	0	0	-99.2024
Oahu	2025-12-23-20:00	809.12	0	0	899.022	0	0	-89.9022
Oahu	2025-12-23-22:00	736.272	0	0	742.593	0	0	-6.3209
Oahu	2030-01-23-00:00	547.745	0	0	608.605	0	0	-60.8605
Oahu	2030-01-23-02:00	559.351	0	0	579.781	0	37.548	-57.9781
Oahu	2030-01-23-04:00	564.227	0	0	626.919	0	0	-62.6919
Oahu	2030-01-23-06:00	710.473	0	0	789.415	0	0	-78.9415
Oahu	2030-01-23-08:00	947.127	0	0	831.648	0	0	115.479
Oahu	2030-01-23-10:00	1248.69	0	0	854.088	0	0	394.598
Oahu	2030-01-23-12:00	1185.15	0	0	860.188	128.639	282.343	-86.0188
Oahu	2030-01-23-14:00	1124.88	0	0	855.224	103.263	0	166.391
Oahu	2030-01-23-16:00	980.611	0	0	850.774	26.6935	188.221	-85.0774
Oahu	2030-01-23-18:00	819.036	0	0	910.04	0	0	-91.004
Oahu	2030-01-23-20:00	752.333	0	0	835.926	0	0	-83.5926
Oahu	2030-01-23-22:00	632.724	0	0	703.027	0	0	-70.3027
Oahu	2030-02-23-00:00	595.333	0	0	631.778	26.7329	0	-63.1778
Oahu	2030-02-23-02:00	637.625	0	0	590.978	105.745	0	-59.0978
Oahu	2030-02-23-04:00	540.234	0	0	600.26	0	0	-60.026
