GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_OnshoreWind_OnWind_401,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_402,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_402,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_402,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_402,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_402,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_402,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_403,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_403,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_403,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_403,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_403,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_403,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_404,2020,2309475.44115,.,27400.0
Oahu_OnshoreWind_OnWind_404,2025,2317920.03779,.,27400.0
Oahu_OnshoreWind_OnWind_404,2030,2233664.86748,.,27400.0
Oahu_OnshoreWind_OnWind_404,2035,2144407.82662,.,27400.0
Oahu_OnshoreWind_OnWind_404,2040,2066733.99942,.,27400.0
Oahu_OnshoreWind_OnWind_404,2045,1986498.14189,.,27400.0
Oahu_OnshoreWind_OnWind_405,2020,2309475.44115,.,27400.0
