ShiftDemand_index_1	ShiftDemand_index_2	ShiftDemand
Oahu	2035042302	-59.5248205865
Oahu	2035042304	-63.574973006
Oahu	2035042306	-79.0782705327
Oahu	2035042308	185.822090795
Oahu	2035042310	390.333426545
Oahu	2035042312	-92.905830895
Oahu	2035042314	128.949684422
Oahu	2035042316	-92.4295844031
Oahu	2035042318	-92.5121487871
Oahu	2035042320	-88.6755493591
Oahu	2035042322	-73.8852597951
Oahu	2035052300	-66.8241018138
Oahu	2035052302	-63.6425203835
Oahu	2035052304	-68.3858954642
Oahu	2035052306	-83.682457204
Oahu	2035052308	384.642109204
Oahu	2035052310	361.343578378
Oahu	2035052312	-96.4510854072
Oahu	2035052314	-95.6575661343
Oahu	2035052316	-15.8037717655
Oahu	2035052318	-90.9005399868
Oahu	2035052320	-87.8376870236
Oahu	2035052322	-76.8000623996
Oahu	2035062300	-65.6252941111
Oahu	2035062302	-62.4171018459
Oahu	2035062304	-66.6316917345
Oahu	2035062306	-80.6271002505
Oahu	2035062308	118.320413457
Oahu	2035062310	267.430984365
Oahu	2035062312	342.429308247
Oahu	2035062314	-96.2538987039
Oahu	2035062316	-94.6129555185
Oahu	2035062318	-92.6799927763
Oahu	2035062320	-91.6019499566
Oahu	2035062322	-77.7307211725
Oahu	2035072300	16.3604518235
Oahu	2035072302	-65.592544877
Oahu	2035072304	-69.288581627
Oahu	2035072306	-82.9680833017
Oahu	2035072308	-16.4717735299
Oahu	2035072310	-96.5786758236
Oahu	2035072312	405.609632025
Oahu	2035072314	-97.2050257481
Oahu	2035072316	271.203309052
Oahu	2035072318	-94.1489941538
Oahu	2035072320	-91.9826806253
Oahu	2035072322	-78.937033214
Oahu	2035082300	-68.6185591163
Oahu	2035082302	-64.3869116408
Oahu	2035082304	-65.3059765852
Oahu	2035082306	-72.9491414283
Oahu	2035082308	308.103163227
Oahu	2035082310	250.374416751
Oahu	2035082312	148.179870515
Oahu	2035082314	-90.6016990612
Oahu	2035082316	-90.0763203892
Oahu	2035082318	-89.0897122317
Oahu	2035082320	-87.173802912
Oahu	2035082322	-78.4553271282
Oahu	2035092300	-66.0578763456
Oahu	2035092302	-63.2863558048
Oahu	2035092304	-68.4165957889
Oahu	2035092306	-83.393157033
Oahu	2035092308	166.118219993
Oahu	2035092310	228.098339887
Oahu	2035092312	341.854304557
Oahu	2035092314	-96.5854971925
Oahu	2035092316	-95.0325738205
Oahu	2035092318	-98.0360750436
Oahu	2035092320	-89.7099237571
Oahu	2035092322	-75.552809651
Oahu	2035102300	-65.7119479848
Oahu	2035102302	-62.7951006355
Oahu	2035102304	-66.7313095409
Oahu	2035102306	-81.4656497203
Oahu	2035102308	204.4455523
Oahu	2035102310	216.800189115
Oahu	2035102312	300.532909997
Oahu	2035102314	-93.6706987525
Oahu	2035102316	-92.3511178379
Oahu	2035102318	-95.8909085918
Oahu	2035102320	-87.8840789956
Oahu	2035102322	-75.2778393522
Oahu	2035112300	-62.9199591727
Oahu	2035112302	-60.0078884474
Oahu	2035112304	-61.4564215535
Oahu	2035112306	-67.4013320516
Oahu	2035112308	-78.4416843903
Oahu	2035112310	385.951037401
Oahu	2035112312	359.163743829
Oahu	2035112314	-82.2175494808
Oahu	2035112316	-84.3859119186
Oahu	2035112318	-91.4245527192
Oahu	2035112320	-84.1477845082
Oahu	2035112322	-72.7116969877
Oahu	2035122300	-33.0439865315
Oahu	2035122302	-59.4224750655
Oahu	2035122304	-63.5701963819
Oahu	2035122306	-76.9897405997
Oahu	2035122308	-85.6747800151
Oahu	2035122310	298.090505051
Oahu	2035122312	435.177583657
Oahu	2035122314	-89.1511212101
Oahu	2035122316	-71.2284595386
Oahu	2035122318	-92.4316333125
Oahu	2035122320	-86.1558072955
Oahu	2035122322	-75.5998887573
Oahu	2040012300	-7.79428871439
Oahu	2040012302	35.8242945742
Oahu	2040012304	-66.629982292
Oahu	2040012306	-83.4038889589
Oahu	2040012308	-87.7634847846
Oahu	2040012310	236.461786048
Oahu	2040012312	-8.73808784803
Oahu	2040012314	330.328627883
Oahu	2040012316	-89.7378055707
Oahu	2040012318	-95.855685956
Oahu	2040012320	-88.2050993193
Oahu	2040012322	-74.4863850614
Oahu	2040022300	-67.1315696845
Oahu	2040022302	-62.9198636483
Oahu	2040022304	-63.8780608697
Oahu	2040022306	-71.5927092335
Oahu	2040022308	10.2712951558
Oahu	2040022310	-88.8961473669
Oahu	2040022312	16.7805773525
Oahu	2040022314	676.719372886
Oahu	2040022316	-89.746665481
Oahu	2040022318	-93.2564212044
Oahu	2040022320	-88.0381295258
Oahu	2040022322	-78.3116783797
Oahu	2040032300	-66.8991779804
Oahu	2040032302	-63.0016451961
Oahu	2040032304	-63.7826525303
Oahu	2040032306	-69.3008043381
Oahu	2040032308	-80.4209360159
Oahu	2040032310	671.096628151
Oahu	2040032312	-84.3791238295
Oahu	2040032314	91.1081259544
Oahu	2040032316	-85.0776674444
Oahu	2040032318	-88.2643900056
Oahu	2040032320	-85.7073782911
Oahu	2040032322	-75.3709784738
Oahu	2040042300	-65.3637430431
Oahu	2040042302	-62.3732986923
Oahu	2040042304	-66.4187171065
Oahu	2040042306	-81.9038936629
Oahu	2040042308	-90.3313946047
Oahu	2040042310	257.855151848
Oahu	2040042312	508.251064162
Oahu	2040042314	-96.0090247982
Oahu	2040042316	-40.1771668202
Oahu	2040042318	-95.3220697797
Oahu	2040042320	-91.4899547464
Oahu	2040042322	-76.7169527561
Oahu	2040052300	-69.6640481825
Oahu	2040052302	-66.4861855316
Oahu	2040052304	-71.2240163363
Oahu	2040052306	-86.502698748
Oahu	2040052308	341.621013286
Oahu	2040052310	-48.5316600521
Oahu	2040052312	-99.2564023887
Oahu	2040052314	459.450469881
Oahu	2040052316	-95.4127070782
Oahu	2040052318	-93.7123447023
Oahu	2040052320	-90.6530717431
Oahu	2040052322	-79.6283484046
Oahu	2040062300	-68.4666417016
Oahu	2040062302	-65.2621993197
Oahu	2040062304	-69.471863001
Oahu	2040062306	-83.450913037
Oahu	2040062308	225.350637128
Oahu	2040062310	272.8545262
Oahu	2040062312	-98.9388182793
Oahu	2040062314	-99.0594461663
Oahu	2040062316	256.905289975
Oahu	2040062318	-95.4897175851
Oahu	2040062320	-94.4129348316
Oahu	2040062322	-80.5579193806
Oahu	2040072300	-71.9879818617
Oahu	2040072302	-68.4339307463
Oahu	2040072304	-72.1256473979
Oahu	2040072306	-85.7891598389
Oahu	2040072308	49.8866022173
Oahu	2040072310	149.247649908
Oahu	2040072312	-100.372709493
Oahu	2040072314	-100.009461489
Oahu	2040072316	573.097682542
Oahu	2040072318	-96.9570019259
Oahu	2040072320	-94.7932204848
Oahu	2040072322	-81.7628214288
Oahu	2040082300	-71.4564080404
Oahu	2040082302	-67.2297067099
Oahu	2040082304	-68.1476974087
Oahu	2040082306	-75.7819285678
Oahu	2040082308	-88.6126385557
Oahu	2040082310	-93.4049931654
Oahu	2040082312	361.209549801
Oahu	2040082314	122.389170072
Oahu	2040082316	244.209928094
Oahu	2040082318	-91.9036335263
Oahu	2040082320	-89.9899636099
Oahu	2040082322	-81.2816783834
Oahu	2040092300	-68.898718314
Oahu	2040092302	-66.1304372545
Oahu	2040092304	-71.2546807771
Oahu	2040092306	-86.2137367245
Oahu	2040092308	-1.15607001991
Oahu	2040092310	-97.6916590344
Oahu	2040092312	269.405816484
Oahu	2040092314	491.524247502
Oahu	2040092316	-97.8395488239
Oahu	2040092318	-100.839539416
Oahu	2040092320	-92.5231201198
Oahu	2040092322	-78.3825535027
Oahu	2040102300	-68.5531942903
Oahu	2040102302	-65.6397562868
Oahu	2040102304	-69.5713643694
Oahu	2040102306	-84.2884823714
Oahu	2040102308	165.788428658
Oahu	2040102310	363.49909531
Oahu	2040102312	217.909960406
Oahu	2040102314	-96.4792655784
Oahu	2040102316	-95.1612270509
Oahu	2040102318	-98.6968803338
Oahu	2040102320	-90.69940949
Oahu	2040102322	-78.1079046019
Oahu	2040112300	-65.7644688837
Oahu	2040112302	-62.8558019211
Oahu	2040112304	-64.3026419149
Oahu	2040112306	-70.2406037269
Oahu	2040112308	451.023278649
Oahu	2040112310	128.831516857
Oahu	2040112312	-85.8798012971
Oahu	2040112314	113.141842234
Oahu	2040112316	-87.2053312323
Oahu	2040112318	-94.2357449444
Oahu	2040112320	-86.9674821562
Oahu	2040112322	-75.5447616632
Oahu	2040122300	-66.0881842174
Oahu	2040122302	-62.2710727975
Oahu	2040122304	-66.4139460656
Oahu	2040122306	-79.8178049001
Oahu	2040122308	-88.4926928402
Oahu	2040122310	-92.4481561274
Oahu	2040122312	-92.51903541
Oahu	2040122314	735.719765817
Oahu	2040122316	74.9755104114
Oahu	2040122318	-95.2416484153
Oahu	2040122320	-88.9731578737
Oahu	2040122322	-78.4295775807
Oahu	2045012300	-66.1514827146
Oahu	2045012302	-63.0779152826
Oahu	2045012304	-68.1043178724
Oahu	2045012306	-85.4313364786
Oahu	2045012308	-89.9346879928
Oahu	2045012310	-92.3275095974
Oahu	2045012312	295.095853333
Oahu	2045012314	526.809880043
Oahu	2045012316	-91.9741111084
Oahu	2045012318	-98.2937258154
Oahu	2045012320	-90.3908645658
Oahu	2045012322	-76.219781948
Oahu	2045022300	-68.6224448809
Oahu	2045022302	-64.2718597547
Oahu	2045022304	-65.2616530934
Oahu	2045022306	-73.2306884765
Oahu	2045022308	-85.8797703214
Oahu	2045022310	347.993830852
Oahu	2045022312	458.260342854
Oahu	2045022314	-91.0061409255
Oahu	2045022316	-91.9832631702
Oahu	2045022318	-95.6087514915
Oahu	2045022320	-90.2183890194
Oahu	2045022322	-80.1712125728
Oahu	2045032300	78.9879435389
Oahu	2045032302	-64.3563380118
