DemandResponseSpinningReserveDown_index_1	DemandResponseSpinningReserveDown_index_2	DemandResponseSpinningReserveDown_index_3	DemandResponseSpinningReserveDown
contingency	system_wide_balancing_area	2030072322	696.165288236
contingency	system_wide_balancing_area	2030082300	606.307153298
contingency	system_wide_balancing_area	2030082302	569.455972952
contingency	system_wide_balancing_area	2030082304	577.459623589
contingency	system_wide_balancing_area	2030082306	644.019904822
contingency	system_wide_balancing_area	2030082308	437.978762704
contingency	system_wide_balancing_area	2030082310	568.842865249
contingency	system_wide_balancing_area	2030082312	393.523237196
contingency	system_wide_balancing_area	2030082314	797.746695311
contingency	system_wide_balancing_area	2030082316	793.171450255
contingency	system_wide_balancing_area	2030082318	784.579601489
contingency	system_wide_balancing_area	2030082320	767.894960276
contingency	system_wide_balancing_area	2030082322	691.970364641
contingency	system_wide_balancing_area	2030092300	584.00752103
contingency	system_wide_balancing_area	2030092302	559.871814105
contingency	system_wide_balancing_area	2030092304	604.548361469
contingency	system_wide_balancing_area	2030092306	734.971314364
contingency	system_wide_balancing_area	2030092308	557.976612319
contingency	system_wide_balancing_area	2030092310	687.708299464
contingency	system_wide_balancing_area	2030092312	618.757598291
contingency	system_wide_balancing_area	2030092314	476.8844842
contingency	system_wide_balancing_area	2030092316	836.332840728
contingency	system_wide_balancing_area	2030092318	862.488744754
contingency	system_wide_balancing_area	2030092320	789.980695721
contingency	system_wide_balancing_area	2030092322	666.693874662
contingency	system_wide_balancing_area	2030102300	580.995013848
contingency	system_wide_balancing_area	2030102302	555.59373259
contingency	system_wide_balancing_area	2030102304	589.872094644
contingency	system_wide_balancing_area	2030102306	718.185672363
contingency	system_wide_balancing_area	2030102308	527.48948412
contingency	system_wide_balancing_area	2030102310	455.467081461
contingency	system_wide_balancing_area	2030102312	625.801901113
contingency	system_wide_balancing_area	2030102314	745.030454834
contingency	system_wide_balancing_area	2030102316	733.450337321
contingency	system_wide_balancing_area	2030102318	843.8076244
contingency	system_wide_balancing_area	2030102320	774.080379124
contingency	system_wide_balancing_area	2030102322	664.299303723
contingency	system_wide_balancing_area	2030112300	556.681059571
contingency	system_wide_balancing_area	2030112302	531.321375405
contingency	system_wide_balancing_area	2030112304	543.935884303
contingency	system_wide_balancing_area	2030112306	595.70696641
contingency	system_wide_balancing_area	2030112308	691.851557251
contingency	system_wide_balancing_area	2030112310	385.921391149
contingency	system_wide_balancing_area	2030112312	629.787430085
contingency	system_wide_balancing_area	2030112314	374.194178561
contingency	system_wide_balancing_area	2030112316	652.625070936
contingency	system_wide_balancing_area	2030112318	804.912492729
contingency	system_wide_balancing_area	2030112320	741.54296603
contingency	system_wide_balancing_area	2030112322	641.95212674
contingency	system_wide_balancing_area	2030122300	525.310301615
contingency	system_wide_balancing_area	2030122302	476.754792794
contingency	system_wide_balancing_area	2030122304	562.343631607
contingency	system_wide_balancing_area	2030122306	679.207346505
contingency	system_wide_balancing_area	2030122308	754.840762488
contingency	system_wide_balancing_area	2030122310	789.327110008
contingency	system_wide_balancing_area	2030122312	424.084325237
contingency	system_wide_balancing_area	2030122314	294.572344288
contingency	system_wide_balancing_area	2030122316	774.258662742
contingency	system_wide_balancing_area	2030122318	813.682625113
contingency	system_wide_balancing_area	2030122320	759.029774726
contingency	system_wide_balancing_area	2030122322	667.103861705
contingency	system_wide_balancing_area	2035012300	557.043986229
contingency	system_wide_balancing_area	2035012302	530.233570032
contingency	system_wide_balancing_area	2035012304	574.078368753
contingency	system_wide_balancing_area	2035012306	725.220190299
contingency	system_wide_balancing_area	2035012308	684.806525724
contingency	system_wide_balancing_area	2035012310	785.374807232
contingency	system_wide_balancing_area	2035012312	301.463328663
contingency	system_wide_balancing_area	2035012314	426.61291676
contingency	system_wide_balancing_area	2035012316	761.725758694
contingency	system_wide_balancing_area	2035012318	837.417504676
contingency	system_wide_balancing_area	2035012320	768.481649534
contingency	system_wide_balancing_area	2035012322	644.86873673
contingency	system_wide_balancing_area	2035022300	578.597937966
contingency	system_wide_balancing_area	2035022302	540.648226264
contingency	system_wide_balancing_area	2035022304	549.282092919
contingency	system_wide_balancing_area	2035022306	618.795178299
contingency	system_wide_balancing_area	2035022308	729.131833114
contingency	system_wide_balancing_area	2035022310	558.199541024
contingency	system_wide_balancing_area	2035022312	197.921128969
contingency	system_wide_balancing_area	2035022314	773.84864266
contingency	system_wide_balancing_area	2035022316	645.83461004
contingency	system_wide_balancing_area	2035022318	813.996746648
contingency	system_wide_balancing_area	2035022320	766.977162879
contingency	system_wide_balancing_area	2035022322	679.336664301
contingency	system_wide_balancing_area	2035032300	576.503965097
